Distance_(microns);Gray_Value_actin;Gray_Value_mito
12.125;1.503800115;0.757267
12.19;1.587822911;0.74893877
12.256;1.753546421;0.807085903
12.322;1.846404782;0.889303298
12.388;1.772261759;0.910063103
12.454;1.588264586;0.851418244
12.52;1.458027552;0.784242593
12.586;1.440874369;0.747694455
12.652;1.475242446;0.731917698
12.718;1.492820663;0.683424135
12.783;1.484151507;0.604835511
12.849;1.45995927;0.536600745
12.915;1.426731087;0.498565216
12.981;1.401194414;0.480328766
13.047;1.438586261;0.511401918
13.113;1.540567932;0.570341939
13.179;1.63083865;0.609772258
13.245;1.636829333;0.605217486
13.311;1.593572303;0.598851223
13.377;1.595155258;0.611167049
13.442;1.624354291;0.625977292
13.508;1.64472816;0.60088264
13.574;1.680347069;0.580510598
13.64;1.762893689;0.600460152
13.706;1.865579128;0.628193909
13.772;1.89024632;0.624339426
13.838;1.797795658;0.592959536
13.904;1.672323437;0.570226189
13.97;1.652658188;0.580099685
14.035;1.738709774;0.603249732
14.101;1.8166046;0.62023608
14.167;1.810862142;0.607260478
14.233;1.748504263;0.593781363
14.299;1.681672785;0.577651567
14.365;1.646868581;0.576609815
14.431;1.640918113;0.600205501
14.497;1.669683099;0.657727582
14.563;1.743375434;0.723525805
14.628;1.818973139;0.753586142
14.694;1.863625222;0.728589878
14.76;1.858247475;0.670865234
14.826;1.807376591;0.616242697
14.892;1.779809742;0.604164159
14.958;1.799789086;0.625919417
15.024;1.833134448;0.658063258
15.09;1.816271091;0.714184761
15.156;1.784268086;0.79823101
15.222;1.778746118;0.883139597
15.287;1.787366739;0.933201576
15.353;1.825438084;0.927871277
15.419;1.877571587;0.877635673
15.485;1.915394014;0.805129724
15.551;1.938162077;0.776967691
15.617;1.966759961;0.837730779
15.683;1.966360582;0.966537644
15.749;1.864104338;1.090957576
15.815;1.717213345;1.164516853
15.88;1.604560769;1.177938093
15.946;1.598289966;1.169679314
16.012;1.6530645;1.209873584
16.078;1.669725394;1.361193871
16.144;1.60091921;1.570921729
16.21;1.470936642;1.752036128
16.276;1.288272119;1.829137362
16.342;1.074685548;1.843907092
16.408;0.868000049;1.924087283
16.474;0.704932132;2.04614591
16.539;0.575968812;2.146472429
16.605;0.467724658;2.189543093
16.671;0.383941073;2.237342154
16.737;0.342414684;2.263883684
16.803;0.323088491;2.194809729
16.869;0.315430956;1.972575058
16.935;0.309775862;1.641807175
17.001;0.301802846;1.317689144
17.067;0.294904546;1.059705012
17.132;0.290079412;0.910317753
17.198;0.280269668;0.830820489
17.264;0.270787194;0.751462126
17.33;0.263011786;0.648137675
17.396;0.259898572;0.555149721
17.462;0.257371946;0.493223343
17.528;0.25144644;0.467706203
17.594;0.247791014;0.475652456
17.66;0.244575875;0.474998468
17.726;0.236354633;0.432830656
17.791;0.227020539;0.363999776
17.857;0.213004144;0.30753681
17.923;0.202435164;0.267452502
17.989;0.193397831;0.23249593
18.055;0.183100651;0.217946125
18.121;0.176149656;0.209010206
18.187;0.174458536;0.20253398
18.253;0.174568088;0.200195826
18.319;0.169917681;0.201879992
18.384;0.163953346;0.19253316
18.45;0.16113412;0.194466189
18.516;0.159361182;0.197030057
18.582;0.158142938;0.201625341
18.648;0.156702124;0.195577391
18.714;0.155777867;0.192104884
18.78;0.154385587;0.1938122
18.846;0.153966794;0.206197475
18.912;0.157003738;0.231535203
18.978;0.159001325;0.254037049
19.043;0.158287158;0.260733201
19.109;0.157726225;0.260449612
19.175;0.15669935;0.263661682
19.241;0.155378488;0.274600079
19.307;0.154694829;0.273448364
19.373;0.149610375;0.271289622
19.439;0.146259337;0.270282595
19.505;0.149065389;0.281869194
19.571;0.154799527;0.293953519
19.636;0.160487209;0.331340846
19.702;0.165141776;0.383283766
19.768;0.167789047;0.40814113
19.834;0.170529924;0.384771156
19.9;0.176108747;0.355914622
19.966;0.186426035;0.343402021
20.032;0.197341697;0.367854259
20.098;0.200808527;0.406960477
20.164;0.201492186;0.421707058
20.229;0.210297936;0.412180813
20.295;0.231148841;0.413963367
20.361;0.251078956;0.447501998
20.427;0.266495257;0.506661945
20.493;0.277320782;0.568640411
20.559;0.287670658;0.593943413
20.625;0.290275634;0.570012051
20.691;0.285661976;0.520517249
20.757;0.280896471;0.486498254
20.823;0.281447004;0.510111303
20.888;0.294736752;0.572008743
20.954;0.318438085;0.652391496
21.02;0.339823575;0.736547707
21.086;0.350237934;0.831295065
21.152;0.349929386;0.929248705
21.218;0.346440368;1.037081627
21.284;0.349041184;1.135822369
21.35;0.342622694;1.248516801
21.416;0.329548583;1.36675567
21.481;0.328159771;1.534940767
21.547;0.33737946;1.726542138
21.613;0.35030519;1.903286965
21.679;0.371447309;2.018093839
21.745;0.411168866;2.080205417
21.811;0.458230396;2.052946236
21.877;0.502702897;1.889402724
21.943;0.556106647;1.693802183
22.009;0.649123788;1.556059398
22.075;0.785364679;1.507872574
22.14;0.927593478;1.481990821
22.206;1.038241533;1.395068179
22.272;1.105482096;1.257169132
22.338;1.155700522;1.131174997
22.404;1.26501038;1.066250688
22.47;1.422454405;1.098440829
22.536;1.566824319;1.174025735
22.602;1.62659733;1.265398974
22.668;1.632599107;1.338529974
22.733;1.619638015;1.409033445
22.799;1.633026914;1.424086764
22.865;1.681769857;1.366437357
22.931;1.71478379;1.207141878
22.997;1.739484957;1.041456987
23.063;1.770339055;0.897567865
23.129;1.797113386;0.809944934
23.195;1.778683715;0.756821362
23.261;1.709004583;0.71469985
23.327;1.613833847;0.643079389
23.392;1.523749644;0.596744569
23.458;1.471794336;0.576465127
23.524;1.478489479;0.562719786
23.59;1.538197313;0.58269249
23.656;1.6163681;0.595210878
23.722;1.650257061;0.582906628
23.788;1.621571813;0.563061249
23.854;1.59287339;0.549090196
23.92;1.62540474;0.556399823
23.985;1.659989148;0.571684642
24.051;1.591472791;0.551283663
24.117;1.475857461;0.520297324
24.183;1.439513984;0.532636299
24.249;1.512552475;0.594267514
